,Principal Component 1,Principal Component 2,principal component 3,principal component 4,principal component 5,principal component 6,target,labels,Occupation_category1,Occupation_category,Total,White,entropy,Black
41,3.5692605655135425,-0.23044096959950494,1.2124068743626368,1.2357933919492208,0.044740659523065426,0.004809522518321306,Property appraisers and assessors,2,Business and financial operations occupations,Business and financial operations occupations,80,78160.0,0.8472405080756118,880.0
42,1.9682284792013929,-0.5333889283289643,-0.8463344949231981,-0.30792410514753266,-0.32706426526197296,0.028517103569026276,Budget analysts,2,Business and financial operations occupations,Business and financial operations occupations,61,40260.0,1.35420557852625,10797.0
43,-0.8523353358216464,-0.5642949192436566,0.37387659707614673,-0.26082393510025637,-0.12470068539544872,0.07730687703315878,Financial and investment analysts,1,Business and financial operations occupations,Business and financial operations occupations,343,220892.0,1.3372490531377053,44933.0
44,-1.4815964443030925,-0.2627258674269997,0.2067506892309999,0.3844396069888966,-0.33253466405978815,-0.0367890917454263,Personal financial advisors,1,Business and financial operations occupations,Business and financial operations occupations,535,439770.0,1.1546642221250991,39055.0
45,0.8971549798989332,-0.4701352593427889,-0.20809681542214117,-0.04996687197142166,-0.2923537826261561,-0.03952039657947204,Insurance underwriters,2,Business and financial operations occupations,Business and financial operations occupations,128,98304.0,1.2337943491405945,15360.0
46,-1.4486489151479522,0.07456092429321488,-0.11462489723194838,0.022242213533576274,-0.2776509098032022,-0.023014125398177904,Credit counselors and loan officers,1,Business and financial operations occupations,Business and financial operations occupations,440,346280.0,1.2362987573985575,56320.0
47,2.6036289280786975,-0.2999781129884991,0.5089434094742689,-0.31529225865352223,-0.2202147233378369,-0.09927444186882398,"Tax examiners and collectors, and revenue agents",2,Business and financial operations occupations,Business and financial operations occupations,63,52416.0,1.1233817540050115,8064.000000000001
48,1.1521454673584435,-0.2901892083795041,-0.191127464194144,-0.30110150655014545,0.13607087678348886,-0.005392446698216304,Tax preparers,2,Business and financial operations occupations,Business and financial operations occupations,101,76860.99999999999,1.3139302608621608,14341.999999999998
49,2.278940407099109,-0.5245170997114382,-0.3503056918041552,0.15551539895737945,0.19614245302135952,0.007013187173648706,Other financial specialists,2,Business and financial operations occupations,Business and financial operations occupations,61,49959.00000000001,1.2311526778307496,4514.000000000001
50,-1.4620027530844264,-0.4255330024352689,0.22364866969310718,-0.05045670224124476,-0.14029504349360222,0.046101771509229936,Computer systems analysts,1,Computer and mathematical occupations,Computer and mathematical occupations,464,324800.0,1.3097992565781436,52432.00000000001
51,0.7340635582483402,-0.5530804442326092,0.09961348136594016,-0.07552041084981419,-0.37654661679076057,-0.06056707607365051,Information security analysts,1,Computer and mathematical occupations,Computer and mathematical occupations,152,116584.0,1.2073658163088157,17936.000000000004
52,-1.0929536323488156,-0.7555963730395988,0.08533134454201667,0.4343335589550519,-0.30592953519264343,0.07230916187023752,Computer programmers,1,Computer and mathematical occupations,Computer and mathematical occupations,444,303696.00000000006,1.2527478421985148,26640.0
